id,workload,label,seq,batch,nheads,kv_heads,head_dim,page_size,M,K,N,rms_M,rms_hidden,kernel_regex,cfg_tag
D6,decode,DEC-7B-k2k-B2,2048,2,32,32,128,16,,,,,,.*flashinfer.*,D6_DEC_7B_k2k_B2
D7,decode,DEC-7B-k2k-B4,2048,4,32,32,128,16,,,,,,.*flashinfer.*,D7_DEC_7B_k2k_B4
D8,decode,DEC-7B-k2k-page32,2048,1,32,32,128,32,,,,,,.*flashinfer.*,D8_DEC_7B_k2k_page32
D9,decode,DEC-7B-k2k-page64,2048,1,32,32,128,64,,,,,,.*flashinfer.*,D9_DEC_7B_k2k_page64
D10,decode,DEC-LLaMA3-8B-k2k,2048,1,32,8,128,16,,,,,,.*flashinfer.*,D10_DEC_LLaMA3_8B_k2k
D11,decode,DEC-LLaMA3-70B-k2k,2048,1,64,8,128,16,,,,,,.*flashinfer.*,D11_DEC_LLaMA3_70B_k2k
D12,decode,DEC-GLM4-k2k,2048,1,32,2,128,16,,,,,,.*flashinfer.*,D12_DEC_GLM4_k2k
D13,decode,DEC-LLaMA3-8B-k4k,4096,1,32,8,128,16,,,,,,.*flashinfer.*,D13_DEC_LLaMA3_8B_k4k
G1,gemm,GEMM-7B-FFN-up-M1,,,,,,,1,4096,11008,,,.*gemm.*,G1_GEMM_7B_FFN_up_M1
G2,gemm,GEMM-7B-FFN-up-M64,,,,,,,64,4096,11008,,,.*gemm.*,G2_GEMM_7B_FFN_up_M64
G3,gemm,GEMM-7B-FFN-up-M256,,,,,,,256,4096,11008,,,.*gemm.*,G3_GEMM_7B_FFN_up_M256
G4,gemm,GEMM-7B-FFN-up-M1024,,,,,,,1024,4096,11008,,,.*gemm.*,G4_GEMM_7B_FFN_up_M1024
G5,gemm,GEMM-7B-FFN-up-M4096,,,,,,,4096,4096,11008,,,.*gemm.*,G5_GEMM_7B_FFN_up_M4096
G6,gemm,GEMM-7B-FFN-down-M1024,,,,,,,1024,11008,4096,,,.*gemm.*,G6_GEMM_7B_FFN_down_M1024
G7,gemm,GEMM-70B-FFN-up-M1024,,,,,,,1024,8192,28672,,,.*gemm.*,G7_GEMM_70B_FFN_up_M1024
G8,gemm,GEMM-Qwen3-32B-FFN-up-M1024,,,,,,,1024,5120,25600,,,.*gemm.*,G8_GEMM_Qwen3_32B_FFN_up_M1024
G9,gemm,GEMM-7B-QKV-MHA-M1024,,,,,,,1024,4096,12288,,,.*gemm.*,G9_GEMM_7B_QKV_MHA_M1024
G10,gemm,GEMM-LLaMA3-8B-QKV-GQA4-M1024,,,,,,,1024,4096,6144,,,.*gemm.*,G10_GEMM_LLaMA3_8B_QKV_GQA4_M1024
G11,gemm,GEMM-GLM4-QKV-GQA16-M1024,,,,,,,1024,4096,4608,,,.*gemm.*,G11_GEMM_GLM4_QKV_GQA16_M1024
G12,gemm,GEMM-7B-O-M1024,,,,,,,1024,4096,4096,,,.*gemm.*,G12_GEMM_7B_O_M1024
R1,rmsnorm,RMS-7B-M256,,,,,,,,,,256,4096,.*fused_add_rms_norm.*,R1_RMS_7B_M256
R2,rmsnorm,RMS-7B-M1024,,,,,,,,,,1024,4096,.*fused_add_rms_norm.*,R2_RMS_7B_M1024
R3,rmsnorm,RMS-7B-M4096,,,,,,,,,,4096,4096,.*fused_add_rms_norm.*,R3_RMS_7B_M4096
R4,rmsnorm,RMS-Qwen3-32B-M1024,,,,,,,,,,1024,5120,.*fused_add_rms_norm.*,R4_RMS_Qwen3_32B_M1024
R5,rmsnorm,RMS-70B-M1024,,,,,,,,,,1024,8192,.*fused_add_rms_norm.*,R5_RMS_70B_M1024
